event_id,sport,event,event_type
712,Swimming,Swimming Men's 200 metres Butterfly,individual
713,Swimming,Swimming Men's 200 metres Freestyle,individual
714,Swimming,Swimming Men's 200 metres Individual Medley,individual
715,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,team
716,Swimming,Swimming Men's 4 x 100 metres Medley Relay,team
717,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,team
718,Swimming,Swimming Men's 400 metres Freestyle,individual
719,Swimming,Swimming Men's 400 metres Individual Medley,individual
720,Swimming,Swimming Men's 50 metres Freestyle,individual
721,Swimming,Swimming Women's 10 kilometres Open Water,individual
722,Swimming,Swimming Women's 100 metres Backstroke,individual
723,Swimming,Swimming Women's 100 metres Breaststroke,individual
724,Swimming,Swimming Women's 100 metres Butterfly,individual
725,Swimming,Swimming Women's 100 metres Freestyle,individual
726,Swimming,Swimming Women's 200 metres Backstroke,individual
727,Swimming,Swimming Women's 200 metres Breaststroke,individual
728,Swimming,Swimming Women's 200 metres Butterfly,individual
729,Swimming,Swimming Women's 200 metres Freestyle,individual
730,Swimming,Swimming Women's 200 metres Individual Medley,individual
731,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,team
732,Swimming,Swimming Women's 4 x 100 metres Medley Relay,team
733,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,team
734,Swimming,Swimming Women's 400 metres Freestyle,individual
735,Swimming,Swimming Women's 400 metres Individual Medley,individual
736,Swimming,Swimming Women's 50 metres Freestyle,individual
737,Swimming,Swimming Women's 800 metres Freestyle,individual
738,Swimming,Women's 100m Backstroke,individual
739,Swimming,Women's 100m Breaststroke,individual
740,Swimming,Women's 100m Butterfly,individual
741,Swimming,Women's 100m Freestyle,individual
742,Swimming,Women's 1500m Freestyle,individual
743,Swimming,Women's 200m Backstroke,individual
744,Swimming,Women's 200m Breaststroke,individual
745,Swimming,Women's 200m Butterfly,individual
746,Swimming,Women's 200m Freestyle,individual
747,Swimming,Women's 200m Individual Medley,individual
748,Swimming,Women's 4 x 100m Freestyle Relay,team
749,Swimming,Women's 4 x 100m Freestyle Relay Team,team
750,Swimming,Women's 4 x 100m Medley Relay,team
751,Swimming,Women's 4 x 100m Medley Relay Team,team
752,Swimming,Women's 4 x 200m Freestyle Relay,team
753,Swimming,Women's 4 x 200m Freestyle Relay Team,team
754,Swimming,Women's 400m Freestyle,individual
755,Swimming,Women's 400m Individual Medley,individual
756,Swimming,Women's 50m Freestyle,individual
757,Swimming,Women's 800m Freestyle,individual
758,Synchronized Swimming,Synchronized Swimming Women's Duet,team
759,Synchronized Swimming,Synchronized Swimming Women's Solo,individual
760,Synchronized Swimming,Synchronized Swimming Women's Team,team
761,Table Tennis,Men's Singles,individual
762,Table Tennis,Men's Team,team
763,Table Tennis,Mixed Doubles,team
764,Table Tennis,Mixed Doubles Team,team
765,Table Tennis,Table Tennis Men's Doubles,team
766,Table Tennis,Table Tennis Men's Singles,individual
767,Table Tennis,Table Tennis Men's Team,team
768,Table Tennis,Table Tennis Women's Doubles,team
769,Table Tennis,Table Tennis Women's Singles,individual
770,Table Tennis,Table Tennis Women's Team,team
771,Table Tennis,Women's Singles,individual
772,Table Tennis,Women's Team,team
773,Taekwondo,Men +80kg,individual
774,Taekwondo,Men -58kg,individual
775,Taekwondo,Men -68kg,individual
776,Taekwondo,Men -80kg,individual
777,Taekwondo,Taekwondo Men's Featherweight,individual
778,Taekwondo,Taekwondo Men's Flyweight,individual
779,Taekwondo,Taekwondo Men's Heavyweight,individual
780,Taekwondo,Taekwondo Men's Welterweight,individual
781,Taekwondo,Taekwondo Women's Featherweight,individual
782,Taekwondo,Taekwondo Women's Flyweight,individual
783,Taekwondo,Taekwondo Women's Heavyweight,individual
784,Taekwondo,Taekwondo Women's Welterweight,individual
785,Taekwondo,Women +67kg,individual
786,Taekwondo,Women -49kg,individual
787,Taekwondo,Women -57kg,individual
788,Taekwondo,Women -67kg,individual
789,Tennis,Men's Doubles,team
790,Tennis,Men's Doubles Team,team
791,Tennis,Men's Singles,individual
792,Tennis,Mixed Doubles,team
793,Tennis,Mixed Doubles Team,team
794,Tennis,Tennis Men's Doubles,team
795,Tennis,Tennis Men's Singles,individual
796,Tennis,Tennis Mixed Doubles,team
797,Tennis,Tennis Women's Doubles,team
798,Tennis,Tennis Women's Singles,individual
799,Tennis,Women's Doubles,team
800,Tennis,Women's Doubles Team,team
801,Tennis,Women's Singles,individual
802,Trampoline Gymnastics,Men,individual
803,Trampoline Gymnastics,Women,individual
804,Trampolining,Trampolining Men's Individual,individual
805,Trampolining,Trampolining Women's Individual,individual
806,Triathlon,Men's Individual,individual
807,Triathlon,Mixed Relay,team
808,Triathlon,Mixed Relay Team,team
809,Triathlon,Triathlon Men's Olympic Distance,individual
810,Triathlon,Triathlon Women's Olympic Distance,individual
811,Triathlon,Women's Individual,individual
812,Volleyball,Men,team
813,Volleyball,Men Team,team
814,Volleyball,Volleyball Men's Volleyball,team
815,Volleyball,Volleyball Women's Volleyball,team
816,Volleyball,Women,team
817,Volleyball,Women Team,team
818,Water Polo,Men,team
819,Water Polo,Men Team,team
820,Water Polo,Water Polo Men's Water Polo,team
821,Water Polo,Water Polo Women's Water Polo,team
822,Water Polo,Women,team
823,Water Polo,Women Team,team
824,Weightlifting,Men's +102kg,individual
825,Weightlifting,Men's +109kg,individual
826,Weightlifting,Men's 102kg,individual
827,Weightlifting,Men's 109kg,individual
828,Weightlifting,Men's 61kg,individual
829,Weightlifting,Men's 67kg,individual
830,Weightlifting,Men's 73kg,individual
831,Weightlifting,Men's 81kg,individual
832,Weightlifting,Men's 89kg,individual
833,Weightlifting,Men's 96kg,individual
834,Weightlifting,Weightlifting Men's Bantamweight,individual
835,Weightlifting,Weightlifting Men's Featherweight,individual
836,Weightlifting,Weightlifting Men's Flyweight,individual
837,Weightlifting,Weightlifting Men's Heavyweight,individual
838,Weightlifting,Weightlifting Men's Heavyweight I,individual
839,Weightlifting,Weightlifting Men's Heavyweight II,individual
840,Weightlifting,Weightlifting Men's Light-Heavyweight,individual
841,Weightlifting,Weightlifting Men's Lightweight,individual
842,Weightlifting,Weightlifting Men's Middle-Heavyweight,individual
843,Weightlifting,Weightlifting Men's Middleweight,individual
844,Weightlifting,Weightlifting Men's Super-Heavyweight,individual
845,Weightlifting,Weightlifting Women's Featherweight,individual
846,Weightlifting,Weightlifting Women's Flyweight,individual
847,Weightlifting,Weightlifting Women's Heavyweight,individual
848,Weightlifting,Weightlifting Women's Light-Heavyweight,individual
849,Weightlifting,Weightlifting Women's Lightweight,individual
850,Weightlifting,Weightlifting Women's Middleweight,individual
851,Weightlifting,Weightlifting Women's Super-Heavyweight,individual
852,Weightlifting,Women's +81kg,individual
853,Weightlifting,Women's +87kg,individual
854,Weightlifting,Women's 49kg,individual
855,Weightlifting,Women's 55kg,individual
856,Weightlifting,Women's 59kg,individual
857,Weightlifting,Women's 64kg,individual
858,Weightlifting,Women's 71kg,individual
859,Weightlifting,Women's 76kg,individual
860,Weightlifting,Women's 81kg,individual
861,Weightlifting,Women's 87kg,individual
862,Wrestling,Men's Freestyle 125kg,individual
863,Wrestling,Men's Freestyle 57kg,individual
864,Wrestling,Men's Freestyle 65kg,individual
865,Wrestling,Men's Freestyle 74kg,individual
866,Wrestling,Men's Freestyle 86kg,individual
867,Wrestling,Men's Freestyle 97kg,individual
868,Wrestling,Men's Greco-Roman 130kg,individual
869,Wrestling,Men's Greco-Roman 60kg,individual
870,Wrestling,Men's Greco-Roman 67kg,individual
871,Wrestling,Men's Greco-Roman 77kg,individual
872,Wrestling,Men's Greco-Roman 87kg,individual
873,Wrestling,Men's Greco-Roman 97kg,individual
874,Wrestling,Women's Freestyle 50kg,individual
875,Wrestling,Women's Freestyle 53kg,individual
876,Wrestling,Women's Freestyle 57kg,individual
877,Wrestling,Women's Freestyle 62kg,individual
878,Wrestling,Women's Freestyle 68kg,individual
879,Wrestling,Women's Freestyle 76kg,individual
880,Wrestling,"Wrestling Men's Bantamweight, Freestyle",individual
881,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",individual
882,Wrestling,"Wrestling Men's Featherweight, Freestyle",individual
883,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",individual
884,Wrestling,"Wrestling Men's Flyweight, Freestyle",individual
885,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",individual
886,Wrestling,"Wrestling Men's Heavyweight, Freestyle",individual
887,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",individual
888,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",individual
889,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",individual
890,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",individual
891,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",individual
892,Wrestling,"Wrestling Men's Lightweight, Freestyle",individual
893,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",individual
894,Wrestling,"Wrestling Men's Middleweight, Freestyle",individual
895,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",individual
896,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",individual
897,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",individual
898,Wrestling,"Wrestling Men's Welterweight, Freestyle",individual
899,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",individual
900,Wrestling,"Wrestling Women's Featherweight, Freestyle",individual
901,Wrestling,"Wrestling Women's Flyweight, Freestyle",individual
902,Wrestling,"Wrestling Women's Heavyweight, Freestyle",individual
903,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle",individual
904,Wrestling,"Wrestling Women's Lightweight, Freestyle",individual
905,Wrestling,"Wrestling Women's Middleweight, Freestyle",individual
