result_id,olympian_id,year,event_id,medal
53352,117256,1972,458,Gold
53353,117320,1972,458,Gold
53354,117393,1972,270,No medal
53355,117749,1972,295,No medal
53356,117749,1972,304,No medal
53357,117230,1972,203,Bronze
53358,117990,1972,446,No medal
53359,117990,1972,447,No medal
53360,117990,1972,442,No medal
53361,117990,1972,445,No medal
53362,117990,1972,443,No medal
53363,117990,1972,441,No medal
53364,117990,1972,449,No medal
53365,117990,1972,444,No medal
53366,117951,1972,458,Gold
53367,117615,1972,295,No medal
53368,117615,1972,304,No medal
53369,118066,1972,109,No medal
53370,117955,1972,840,No medal
53371,117997,1972,73,No medal
53372,117364,1972,184,No medal
53373,117857,1972,270,No medal
53374,117242,1972,475,No medal
53375,117414,1972,451,No medal
53376,117414,1972,457,No medal
53377,117414,1972,453,No medal
53378,117414,1972,452,No medal
53379,117414,1972,455,No medal
53380,117414,1972,454,No medal
53381,117660,1972,282,No medal
53382,117451,1972,820,No medal
53383,117275,1972,81,No medal
53384,117936,1972,288,No medal
53385,117920,1972,88,No medal
53386,117354,1972,446,No medal
53387,117354,1972,447,No medal
53388,117354,1972,442,No medal
53389,117354,1972,445,No medal
53390,117354,1972,443,No medal
53391,117354,1972,441,No medal
53392,117354,1972,449,No medal
53393,117354,1972,444,No medal
53394,117164,1972,184,No medal
53395,117165,1972,184,No medal
53396,118045,1972,897,No medal
53397,117913,1972,820,No medal
53398,117619,1972,892,No medal
53399,117937,1972,820,No medal
53400,117607,1972,713,No medal
53401,117607,1972,709,No medal
53402,117731,1972,546,No medal
53403,117124,1972,451,No medal
53404,117124,1972,457,No medal
53405,117124,1972,453,No medal
53406,117124,1972,452,No medal
53407,117124,1972,455,No medal
53408,117124,1972,454,No medal
53409,117188,1972,458,Gold
53410,117661,1972,275,No medal
53411,118033,1972,549,No medal
53412,117999,1972,458,Gold
53413,117508,1972,458,Gold
53414,117873,1972,304,No medal
53415,117280,1972,184,No medal
53416,117541,1972,820,No medal
53417,117789,1972,80,No medal
53418,117223,1972,708,No medal
53419,117177,1972,201,Gold
53420,117908,1972,282,No medal
53421,117908,1972,278,No medal
53422,117591,1972,476,No medal
53423,117159,1972,546,No medal
53424,117850,1972,89,No medal
53425,117850,1972,104,No medal
53426,117313,1972,608,No medal
53427,117209,1972,895,Bronze
53428,117585,1972,550,No medal
53429,117161,1972,458,Gold
53430,117685,1972,652,No medal
53431,117685,1972,653,No medal
53432,117863,1972,710,No medal
53433,117863,1972,706,No medal
53434,117238,1972,710,No medal
53435,117238,1972,706,No medal
53436,117549,1972,458,Gold
53437,117694,1972,64,No medal
53438,117694,1972,78,No medal
53439,117892,1972,288,No medal
53440,117192,1972,820,No medal
53441,117801,1972,184,No medal
53442,117179,1972,820,No medal
53443,117261,1972,885,No medal
53444,117643,1972,550,No medal
53445,117940,1972,549,No medal
53446,118058,1972,546,No medal
53447,117368,1972,820,No medal
53448,117917,1972,458,Gold
53449,117349,1972,458,Gold
53450,117747,1972,451,No medal
53451,117747,1972,457,No medal
53452,117747,1972,453,No medal
53453,117747,1972,452,No medal
53454,117747,1972,455,No medal
53455,117747,1972,454,No medal
53456,117488,1972,282,No medal
53457,117488,1972,278,No medal
53458,117969,1972,66,No medal
53459,118067,1972,883,No medal
53460,117633,1972,73,No medal
53461,118013,1972,184,No medal
53462,117737,1972,446,No medal
53463,117737,1972,447,No medal
53464,117737,1972,442,No medal
53465,117737,1972,445,No medal
53466,117737,1972,443,No medal
53467,117737,1972,441,No medal
53468,117737,1972,449,No medal
53469,117737,1972,444,No medal
53470,117473,1972,899,No medal
53471,117767,1972,458,Gold
53472,117909,1972,184,No medal
53473,117225,1972,184,No medal
53474,117970,1972,549,No medal
53475,117343,1972,820,No medal
53476,117524,1972,446,No medal
53477,117524,1972,447,No medal
53478,117524,1972,442,No medal
53479,117524,1972,445,No medal
53480,117524,1972,443,No medal
53481,117524,1972,441,No medal
53482,117524,1972,449,No medal
53483,117524,1972,444,No medal
53484,117690,1972,87,No medal
53485,117904,1972,288,No medal
53486,117952,1972,546,No medal
53487,117407,1972,108,No medal
53488,117728,1972,458,Gold
53489,117768,1972,275,No medal
53490,117567,1972,446,No medal
53491,117567,1972,447,No medal
53492,117567,1972,442,No medal
53493,117567,1972,445,No medal
53494,117567,1972,443,No medal
53495,117567,1972,441,No medal
53496,117567,1972,449,No medal
53497,117567,1972,444,No medal
53498,117884,1972,841,No medal
53499,117276,1972,451,No medal
53500,117276,1972,457,No medal
53501,117276,1972,453,No medal
53502,117276,1972,452,No medal
53503,117276,1972,455,No medal
53504,117276,1972,454,No medal
53505,117457,1972,270,No medal
53506,117778,1972,608,No medal
53507,117196,1972,546,No medal
53508,117296,1972,546,No medal
53509,117593,1972,184,No medal
53510,117871,1972,726,No medal
53511,117871,1972,722,No medal
53512,117269,1972,110,No medal
53513,117529,1972,112,No medal
53514,117182,1972,282,No medal
53515,117418,1972,458,Gold
53516,117183,1972,604,No medal
53517,117436,1972,546,No medal
53518,117132,1972,880,No medal
53519,117853,1972,893,No medal
53520,117546,1972,184,No medal
53521,117854,1972,295,No medal
53522,117854,1972,304,No medal
53523,117292,1972,881,No medal
53524,117197,1972,184,No medal
53525,117357,1972,891,Silver
53526,117743,1972,73,No medal
53527,118051,1972,184,No medal
53528,117635,1972,451,No medal
53529,117635,1972,457,No medal
53530,117635,1972,453,No medal
53531,117635,1972,452,No medal
53532,117635,1972,455,No medal
53533,117635,1972,454,No medal
53534,117581,1972,446,No medal
53535,117581,1972,447,No medal
53536,117581,1972,442,No medal
53537,117581,1972,445,No medal
53538,117581,1972,443,No medal
53539,117581,1972,441,No medal
53540,117581,1972,449,No medal
53541,117581,1972,444,No medal
53542,117588,1972,820,No medal
53543,117458,1972,295,No medal
53544,117821,1972,549,No medal
53545,117885,1972,202,No medal
53546,118060,1972,820,No medal
53547,117382,1972,546,No medal
53548,117748,1972,546,No medal
53549,117173,1972,451,No medal
53550,117173,1972,457,No medal
53551,117173,1972,453,No medal
53552,117173,1972,452,No medal
53553,117173,1972,455,No medal
53554,117173,1972,454,No medal
53555,117519,1972,647,No medal
53556,117833,1972,477,No medal
53557,117833,1972,471,No medal
53558,117946,1972,108,No medal
53559,117963,1972,458,Gold
53560,117464,1972,820,No medal
53561,117330,1972,270,No medal
53562,117773,1972,73,No medal
53563,117773,1972,74,No medal
53564,103626,1972,308,No medal
53565,103929,1972,546,No medal
53566,103426,1972,184,No medal
53567,102768,1972,885,No medal
53568,104012,1972,184,No medal
53569,103113,1972,550,No medal
53570,103104,1972,814,No medal
53571,103135,1972,546,No medal
53572,102966,1972,652,No medal
53573,103083,1972,87,No medal
53574,102979,1972,815,No medal
53575,103772,1972,896,No medal
53576,103712,1972,815,No medal
53577,103494,1972,604,No medal
53578,103394,1972,815,No medal
53579,103797,1972,814,No medal
53580,103469,1972,306,No medal
53581,103047,1972,451,No medal
53582,103047,1972,457,No medal
53583,103047,1972,453,No medal
53584,103047,1972,452,No medal
53585,103047,1972,455,No medal
53586,103047,1972,454,No medal
53587,103851,1972,882,No medal
53588,103271,1972,275,No medal
53589,103852,1972,814,No medal
53590,102939,1972,308,No medal
53591,102939,1972,294,No medal
53592,103686,1972,548,Silver
53593,103774,1972,548,Silver
53594,103216,1972,815,No medal
53595,103715,1972,110,Bronze
53596,103463,1972,546,No medal
53597,103264,1972,837,No medal
53598,102947,1972,551,No medal
53599,103358,1972,647,No medal
53600,103746,1972,446,No medal
53601,103746,1972,447,No medal
53602,103746,1972,442,No medal
53603,103746,1972,445,No medal
53604,103746,1972,443,No medal
53605,103746,1972,441,No medal
53606,103746,1972,449,No medal
53607,103746,1972,444,No medal
53608,103179,1972,814,No medal
53609,102875,1972,282,No medal
53610,102875,1972,284,No medal
53611,103651,1972,275,No medal
53612,103987,1972,735,No medal
53613,103987,1972,730,No medal
53614,103987,1972,723,No medal
53615,103777,1972,458,Silver
53616,102915,1972,458,Silver
53617,103079,1972,815,No medal
53618,103007,1972,814,No medal
53619,103211,1972,267,No medal
53620,103972,1972,458,Silver
53621,104076,1972,184,No medal
53622,103235,1972,814,No medal
53623,103203,1972,297,No medal
53624,103640,1972,275,No medal
53625,102853,1972,546,No medal
53626,103923,1972,547,Bronze
53627,103654,1972,108,No medal
53628,103466,1972,304,No medal
53629,103673,1972,458,Silver
53630,102932,1972,184,No medal
53631,103619,1972,307,No medal
53632,103729,1972,293,No medal
53633,103601,1972,652,No medal
53634,103601,1972,648,No medal
53635,103695,1972,78,No medal
53636,102788,1972,814,No medal
53637,103674,1972,547,Bronze
53638,103674,1972,548,Silver
53639,103655,1972,814,No medal
53640,103556,1972,814,No medal
53641,103110,1972,844,No medal
53642,102948,1972,288,No medal
53643,103282,1972,110,No medal
53644,103030,1972,293,No medal
53645,103031,1972,184,No medal
53646,103824,1972,446,No medal
53647,103824,1972,447,No medal
53648,103824,1972,442,No medal
53649,103824,1972,445,No medal
53650,103824,1972,443,No medal
53651,103824,1972,441,No medal
53652,103824,1972,449,No medal
53653,103824,1972,444,No medal
53654,104015,1972,451,No medal
53655,104015,1972,457,No medal
53656,104015,1972,453,No medal
53657,104015,1972,452,No medal
53658,104015,1972,455,No medal
53659,104015,1972,454,No medal
53660,103858,1972,814,No medal
53661,102844,1972,446,No medal
53662,102844,1972,447,No medal
53663,102844,1972,442,No medal
53664,102844,1972,445,No medal
53665,102844,1972,443,No medal
53666,102844,1972,441,No medal
53667,102844,1972,449,No medal
53668,102844,1972,444,No medal
53669,103800,1972,547,Bronze
53670,104077,1972,881,No medal
53671,102928,1972,68,No medal
53672,103844,1972,898,No medal
53673,102916,1972,446,No medal
53674,102916,1972,447,No medal
53675,102916,1972,442,No medal
53676,102916,1972,445,No medal
53677,102916,1972,443,No medal
53678,102916,1972,441,No medal
53679,102916,1972,449,No medal
53680,102916,1972,444,No medal
53681,103801,1972,815,No medal
53682,102860,1972,815,No medal
53683,104040,1972,295,No medal
53684,103312,1972,82,No medal
53685,102964,1972,71,No medal
53686,102964,1972,76,No medal
53687,103057,1972,446,No medal
53688,103057,1972,447,No medal
53689,103057,1972,442,No medal
53690,103057,1972,445,No medal
53691,103057,1972,443,No medal
53692,103057,1972,441,No medal
53693,103057,1972,449,No medal
53694,103057,1972,444,No medal
53695,103963,1972,267,No medal
53696,103644,1972,308,No medal
53697,103964,1972,458,Silver
53698,103688,1972,815,No medal
53699,102871,1972,270,No medal
53700,102995,1972,270,No medal
53701,103407,1972,815,No medal
53702,103163,1972,295,No medal
53703,103163,1972,304,No medal
53704,102949,1972,72,No medal
53705,102949,1972,70,No medal
53706,102949,1972,67,No medal
53707,102791,1972,727,No medal
53708,102791,1972,723,No medal
53709,102811,1972,547,Bronze
53710,104066,1972,815,No medal
53711,102854,1972,295,No medal
53712,103421,1972,899,Gold
53713,103981,1972,458,Silver
53714,102983,1972,546,No medal
53715,104094,1972,412,No medal
53716,103532,1972,451,No medal
53717,103532,1972,457,No medal
53718,103532,1972,453,No medal
53719,103532,1972,452,No medal
53720,103532,1972,455,No medal
53721,103532,1972,454,No medal
53722,104018,1972,92,No medal
53723,102984,1972,550,No medal
53724,103037,1972,458,Silver
53725,102807,1972,551,No medal
53726,103717,1972,72,No medal
53727,103717,1972,70,No medal
53728,103559,1972,282,No medal
53729,103367,1972,307,No medal
53730,103367,1972,306,No medal
53731,103119,1972,546,No medal
53732,103865,1972,546,No medal
53733,103569,1972,70,No medal
53734,103379,1972,458,Silver
53735,103835,1972,458,Silver
53736,103535,1972,201,No medal
53737,103205,1972,653,No medal
53738,103229,1972,406,No medal
53739,103867,1972,814,No medal
53740,104087,1972,184,No medal
53741,103313,1972,546,No medal
53742,103222,1972,184,No medal
53743,103330,1972,458,Silver
53744,103630,1972,815,No medal
53745,103848,1972,897,No medal
53746,103148,1972,458,Silver
53747,103826,1972,458,Silver
53748,103230,1972,204,No medal
53749,103595,1972,108,No medal
53750,102901,1972,293,No medal
53751,103004,1972,289,No medal
53752,103125,1972,282,No medal
53753,102969,1972,270,No medal
53754,103754,1972,815,No medal
53755,104027,1972,89,No medal
53756,103314,1972,458,Silver
53757,103242,1972,66,No medal
53758,103242,1972,76,No medal
53759,103267,1972,270,No medal
53760,103762,1972,895,No medal
53761,103679,1972,547,Bronze
53762,103769,1972,477,No medal
53763,103769,1972,476,No medal
53764,103782,1972,649,No medal
53765,102766,1972,108,No medal
53766,103223,1972,647,No medal
53767,103244,1972,295,No medal
53768,102937,1972,270,No medal
53769,103290,1972,71,No medal
53770,103290,1972,64,No medal
53771,103732,1972,304,No medal
53772,103819,1972,546,No medal
53773,103500,1972,555,No medal
53774,103917,1972,843,No medal
53775,103789,1972,288,No medal
53776,103401,1972,304,No medal
53777,103093,1972,289,No medal
53778,103525,1972,458,Silver
53779,103250,1972,814,No medal
53780,103836,1972,88,No medal
53781,103402,1972,114,No medal
53782,103690,1972,446,No medal
53783,103690,1972,447,No medal
53784,103690,1972,442,No medal
53785,103690,1972,445,No medal
53786,103690,1972,443,No medal
53787,103690,1972,441,No medal
53788,103690,1972,449,No medal
53789,103690,1972,444,No medal
53790,103513,1972,649,Silver
53791,103435,1972,728,No medal
53792,103435,1972,724,No medal
53793,103316,1972,886,No medal
53794,103024,1972,892,No medal
53795,103672,1972,372,Silver
53796,103672,1972,373,No medal
53797,102802,1972,184,No medal
53798,102959,1972,451,No medal
53799,102959,1972,457,No medal
53800,102959,1972,453,No medal
53801,102959,1972,452,No medal
53802,102959,1972,455,No medal
53803,102959,1972,454,No medal
53804,103918,1972,308,No medal
53805,102770,1972,72,No medal
53806,102770,1972,67,No medal
53807,103615,1972,75,No medal
53808,103584,1972,80,Gold
53809,103883,1972,271,No medal
53810,103451,1972,68,No medal
53811,103740,1972,653,No medal
53812,103740,1972,648,No medal
53813,103939,1972,451,No medal
53814,103939,1972,457,No medal
53815,103939,1972,453,No medal
53816,103939,1972,452,No medal
53817,103939,1972,455,No medal
53818,103939,1972,454,No medal
53819,103121,1972,458,Silver
53820,104024,1972,84,No medal
53821,103992,1972,451,No medal
53822,103992,1972,457,No medal
53823,103992,1972,453,No medal
53824,103992,1972,452,No medal
53825,103992,1972,455,No medal
53826,103992,1972,454,No medal
53827,103094,1972,184,No medal
53828,103684,1972,87,No medal
53829,104071,1972,270,No medal
53830,102785,1972,282,No medal
53831,103017,1972,72,No medal
53832,103017,1972,67,No medal
53833,102885,1972,184,No medal
53834,103909,1972,184,No medal
53835,103018,1972,458,Silver
53836,103158,1972,184,No medal
53837,103145,1972,82,No medal
53838,85274,1972,267,No medal
53839,86469,1972,99,No medal
53840,86469,1972,100,No medal
53841,86613,1972,71,No medal
53842,85595,1972,464,No medal
53843,86080,1972,880,No medal
53844,87196,1972,458,No medal
53845,86133,1972,814,No medal
53846,85283,1972,649,Gold
53847,86153,1972,473,Silver
53848,85494,1972,604,No medal
53849,84899,1972,894,No medal
53850,85260,1972,464,No medal
53851,86123,1972,464,No medal
53852,86457,1972,407,Gold
53853,86457,1972,406,Gold
53854,85056,1972,704,No medal
53855,85056,1972,718,No medal
53856,85511,1972,835,No medal
53857,86392,1972,897,No medal
53858,85823,1972,68,No medal
53859,87335,1972,68,No medal
53860,85044,1972,405,No medal
53861,85044,1972,404,No medal
53862,85340,1972,372,No medal
53863,85340,1972,373,No medal
53864,86470,1972,73,No medal
53865,86470,1972,74,No medal
53866,86445,1972,464,No medal
53867,85530,1972,403,No medal
53868,86760,1972,72,No medal
53869,86760,1972,67,No medal
53870,86583,1972,458,No medal
53871,85447,1972,522,No medal
53872,85447,1972,521,No medal
53873,85316,1972,546,No medal
53874,87120,1972,464,No medal
53875,87336,1972,834,No medal
53876,86187,1972,652,No medal
53877,86217,1972,282,No medal
53878,86351,1972,197,No medal
53879,85665,1972,475,No medal
53880,86218,1972,430,Gold
53881,85262,1972,608,No medal
53882,87110,1972,458,No medal
53883,86809,1972,430,Gold
53884,87210,1972,292,No medal
53885,85030,1972,10,Silver
53886,86200,1972,278,Bronze
53887,84952,1972,295,Silver
53888,84952,1972,304,No medal
53889,86279,1972,430,Gold
53890,86749,1972,295,Silver
53891,86749,1972,304,No medal
53892,86135,1972,10,No medal
53893,87378,1972,64,No medal
53894,86932,1972,458,No medal
53895,86630,1972,95,Bronze
53896,86630,1972,92,No medal
53897,87338,1972,204,Gold
53898,85286,1972,889,No medal
53899,86890,1972,446,No medal
53900,86890,1972,447,No medal
53901,86890,1972,442,No medal
53902,86890,1972,445,No medal
53903,86890,1972,443,No medal
53904,86890,1972,441,No medal
53905,86890,1972,449,No medal
53906,86890,1972,444,No medal
53907,85080,1972,814,No medal
53908,85200,1972,893,No medal
53909,85761,1972,814,No medal
53910,86230,1972,446,No medal
53911,86230,1972,447,No medal
53912,86230,1972,442,No medal
53913,86230,1972,445,No medal
53914,86230,1972,443,No medal
53915,86230,1972,441,No medal
53916,86230,1972,449,No medal
53917,86230,1972,444,No medal
53918,85119,1972,654,No medal
53919,85092,1972,93,No medal
53920,87199,1972,882,No medal
53921,86030,1972,546,No medal
53922,85170,1972,814,No medal
53923,87296,1972,606,No medal
53924,85853,1972,207,No medal
53925,86561,1972,85,No medal
53926,85496,1972,288,No medal
53927,86891,1972,205,No medal
53928,84966,1972,647,No medal
53929,87121,1972,458,No medal
53930,87272,1972,304,No medal
53931,87237,1972,716,No medal
53932,87237,1972,711,No medal
53933,87237,1972,707,No medal
53934,87122,1972,654,No medal
53935,87089,1972,836,Gold
53936,84980,1972,86,No medal
53937,86458,1972,550,No medal
53938,85533,1972,284,No medal
53939,86085,1972,413,No medal
53940,86085,1972,412,No medal
53941,86086,1972,522,No medal
53942,86086,1972,521,No medal
53943,85936,1972,887,No medal
53944,87027,1972,99,No medal
53945,87027,1972,104,No medal
53946,86826,1972,79,No medal
53947,87263,1972,814,No medal
53948,86126,1972,405,No medal
53949,86126,1972,404,No medal
53950,85923,1972,653,No medal
53951,85923,1972,648,No medal
53952,86136,1972,546,No medal
53953,86912,1972,184,No medal
53954,86648,1972,270,No medal
53955,85013,1972,548,No medal
53956,85826,1972,270,No medal
53957,85924,1972,609,No medal
53958,85184,1972,202,Silver
53959,87238,1972,458,No medal
53960,87471,1972,200,No medal
53961,86043,1972,652,No medal
53962,86268,1972,651,No medal
53963,86616,1972,196,No medal
53964,87394,1972,548,No medal
53965,86577,1972,93,No medal
53966,86369,1972,522,No medal
53967,86369,1972,521,No medal
53968,87423,1972,368,No medal
53969,86306,1972,606,No medal
53970,85669,1972,458,No medal
53971,85203,1972,278,Bronze
53972,85521,1972,606,No medal
53973,85465,1972,203,No medal
53974,86137,1972,99,No medal
53975,86137,1972,100,No medal
53976,87171,1972,606,No medal
53977,85959,1972,653,No medal
53978,85959,1972,648,No medal
53979,85290,1972,409,No medal
53980,85290,1972,408,No medal
53981,85367,1972,184,No medal
53982,86993,1972,716,No medal
53983,86993,1972,719,No medal
53984,86993,1972,714,No medal
53985,86993,1972,713,No medal
