result_id,olympian_id,year,event_id,medal
140643,85510,2004,81,No medal
140644,86758,2004,309,No medal
140645,86758,2004,306,No medal
140646,85892,2004,478,No medal
140647,85777,2004,529,No medal
140648,85431,2004,893,No medal
140649,85400,2004,546,No medal
140650,86903,2004,71,No medal
140651,86154,2004,814,No medal
140652,87004,2004,115,No medal
140653,87252,2004,281,No medal
140654,86155,2004,318,No medal
140655,86576,2004,851,Bronze
140656,85108,2004,267,No medal
140657,87468,2004,82,No medal
140658,85759,2004,899,No medal
140659,87005,2004,529,No medal
140660,87154,2004,551,No medal
140661,85484,2004,315,No medal
140662,87447,2004,475,No medal
140663,85512,2004,105,No medal
140664,85117,2004,275,No medal
140665,85646,2004,169,No medal
140666,85129,2004,781,No medal
140667,85155,2004,72,No medal
140668,85155,2004,70,No medal
140669,85975,2004,281,No medal
140670,87074,2004,72,No medal
140671,87236,2004,93,No medal
140672,85079,2004,895,No medal
140673,86227,2004,546,No medal
140674,85656,2004,843,No medal
140675,85376,2004,408,No medal
140676,85245,2004,304,No medal
140677,85667,2004,814,No medal
140678,87198,2004,107,No medal
140679,85548,2004,315,No medal
140680,85585,2004,111,No medal
140681,85731,2004,553,Gold
140682,85586,2004,814,No medal
140683,85091,2004,275,No medal
140684,85549,2004,77,No medal
140685,85841,2004,814,No medal
140686,86631,2004,521,No medal
140687,87393,2004,546,No medal
140688,85449,2004,656,No medal
140689,86964,2004,293,No medal
140690,86394,2004,597,No medal
140691,85976,2004,718,No medal
140692,86892,2004,82,No medal
140693,86083,2004,405,No medal
140694,86083,2004,404,No medal
140695,86281,2004,289,Bronze
140696,86718,2004,414,No medal
140697,87255,2004,11,No medal
140698,87255,2004,10,No medal
140699,86110,2004,111,No medal
140700,86282,2004,549,No medal
140701,87451,2004,267,No medal
140702,86837,2004,290,No medal
140703,85304,2004,106,No medal
140704,86778,2004,887,No medal
140705,86852,2004,282,No medal
140706,86852,2004,284,No medal
140707,85799,2004,270,No medal
140708,86933,2004,315,No medal
140709,85012,2004,290,No medal
140710,85171,2004,198,No medal
140711,86750,2004,73,No medal
140712,86158,2004,814,No medal
140713,84996,2004,549,No medal
140714,85417,2004,304,No medal
140715,86410,2004,113,Bronze
140716,85231,2004,405,No medal
140717,85231,2004,404,No medal
140718,85418,2004,99,No medal
140719,85213,2004,113,No medal
140720,87157,2004,99,No medal
140721,87157,2004,101,No medal
140722,87009,2004,99,No medal
140723,87009,2004,100,No medal
140724,86102,2004,8,No medal
140725,86730,2004,105,No medal
140726,86649,2004,71,No medal
140727,85401,2004,288,No medal
140728,85958,2004,270,No medal
140729,85869,2004,73,No medal
140730,85869,2004,75,No medal
140731,86751,2004,289,Bronze
140732,86751,2004,292,No medal
140733,86841,2004,405,No medal
140734,86841,2004,404,No medal
140735,87226,2004,95,No medal
140736,87012,2004,101,No medal
140737,85845,2004,546,No medal
140738,85172,2004,615,No medal
140739,86914,2004,844,No medal
140740,87101,2004,814,No medal
140741,84954,2004,529,No medal
140742,85144,2004,11,No medal
140743,85144,2004,10,No medal
140744,87013,2004,562,No medal
140745,86046,2004,897,No medal
140746,86843,2004,290,No medal
140747,87313,2004,599,No medal
140748,85000,2004,282,No medal
140749,86935,2004,659,No medal
140750,86935,2004,656,No medal
140751,85378,2004,476,No medal
140752,85623,2004,318,No medal
140753,85912,2004,794,No medal
140754,85982,2004,168,No medal
140755,85896,2004,73,No medal
140756,86782,2004,710,No medal
140757,86782,2004,706,No medal
140758,86970,2004,87,No medal
140759,86473,2004,77,No medal
140760,86341,2004,109,No medal
140761,86259,2004,168,No medal
140762,85358,2004,196,No medal
140763,86916,2004,529,No medal
140764,85359,2004,309,No medal
140765,85359,2004,299,No medal
140766,85359,2004,306,No medal
140767,85625,2004,201,No medal
140768,86709,2004,594,Bronze
140769,86998,2004,69,No medal
140770,85526,2004,553,Gold
140771,86588,2004,402,No medal
140772,86312,2004,765,No medal
140773,86312,2004,766,No medal
140774,86072,2004,554,No medal
140775,87383,2004,298,No medal
140776,87383,2004,304,No medal
140777,85717,2004,294,No medal
140778,85830,2004,473,No medal
140779,86385,2004,546,No medal
140780,87129,2004,77,Gold
140781,86754,2004,712,No medal
140782,86754,2004,704,No medal
140783,86955,2004,94,No medal
140784,85914,2004,554,No medal
140785,86049,2004,554,No medal
140786,86236,2004,86,No medal
140787,87345,2004,298,No medal
140788,87345,2004,304,No medal
140789,87289,2004,637,No medal
140790,87289,2004,634,No medal
140791,84903,2004,73,No medal
140792,84903,2004,74,No medal
140793,86105,2004,844,No medal
140794,86207,2004,849,No medal
140795,86245,2004,720,No medal
140796,85831,2004,605,No medal
140797,87147,2004,562,No medal
140798,85175,2004,301,No medal
140799,85268,2004,814,No medal
140800,87067,2004,551,No medal
140801,86973,2004,728,Gold
140802,86973,2004,724,Silver
140803,86973,2004,734,Silver
140804,86360,2004,72,No medal
140805,86360,2004,70,No medal
