result_id,olympian_id,year,event_id,medal
180505,87021,2016,554,No medal
180506,87106,2016,594,No medal
180507,86758,2016,309,No medal
180508,86758,2016,299,No medal
180509,86758,2016,306,No medal
180510,85134,2016,814,No medal
180511,86349,2016,71,No medal
180512,86419,2016,70,No medal
180513,87405,2016,721,No medal
180514,87107,2016,718,No medal
180515,87197,2016,458,No medal
180516,86378,2016,720,No medal
180517,87208,2016,99,No medal
180518,87208,2016,100,No medal
180519,87334,2016,292,No medal
180520,85153,2016,704,No medal
180521,85153,2016,718,No medal
180522,86029,2016,86,No medal
180523,85484,2016,315,Silver
180524,85169,2016,106,Gold
180525,86405,2016,458,No medal
180526,86518,2016,731,No medal
180527,86518,2016,725,No medal
180528,86611,2016,546,No medal
180529,86484,2016,903,No medal
180530,85992,2016,79,No medal
180531,85641,2016,560,No medal
180532,85881,2016,560,No medal
180533,85045,2016,555,No medal
180534,87042,2016,767,No medal
180535,87042,2016,766,No medal
180536,86066,2016,290,No medal
180537,86066,2016,291,Silver
180538,85646,2016,168,No medal
180539,85882,2016,89,No medal
180540,85935,2016,80,No medal
180541,87253,2016,731,No medal
180542,87253,2016,736,No medal
180543,86227,2016,546,No medal
180544,86406,2016,82,No medal
180545,85261,2016,726,No medal
180546,85261,2016,722,No medal
180547,85261,2016,731,No medal
180548,86278,2016,458,No medal
180549,86249,2016,94,No medal
180550,87449,2016,546,No medal
180551,87024,2016,85,No medal
180552,85058,2016,458,No medal
180553,86991,2016,97,No medal
180554,85597,2016,270,No medal
180555,87026,2016,458,No medal
180556,86151,2016,98,No medal
180557,86151,2016,92,No medal
180558,86081,2016,712,No medal
180559,86081,2016,717,No medal
180560,86081,2016,715,No medal
180561,86646,2016,99,No medal
180562,86646,2016,100,No medal
180563,87498,2016,716,No medal
180564,87498,2016,707,No medal
180565,86201,2016,521,No medal
180566,85449,2016,659,No medal
180567,85449,2016,656,No medal
180568,86777,2016,563,Bronze
180569,86083,2016,404,No medal
180570,86718,2016,415,No medal
180571,86718,2016,414,No medal
180572,85006,2016,86,No medal
180573,86096,2016,614,No medal
180574,86762,2016,85,No medal
180575,86368,2016,546,No medal
180576,87452,2016,704,No medal
180577,85648,2016,309,No medal
180578,85648,2016,306,No medal
180579,85029,2016,474,No medal
180580,85995,2016,320,No medal
180581,86853,2016,284,No medal
180582,86253,2016,777,No medal
180583,85498,2016,796,No medal
180584,85498,2016,798,No medal
180585,85366,2016,554,No medal
180586,85843,2016,415,No medal
180587,85800,2016,596,No medal
180588,85499,2016,190,No medal
180589,87395,2016,98,No medal
180590,87395,2016,92,No medal
180591,87225,2016,706,No medal
180592,87170,2016,479,No medal
180593,85537,2016,483,No medal
180594,85958,2016,270,No medal
180595,85312,2016,313,No medal
180596,85312,2016,318,No medal
180597,85356,2016,484,No medal
180598,85446,2016,316,No medal
180599,85446,2016,320,No medal
180600,86355,2016,73,No medal
180601,86840,2016,848,No medal
180602,85111,2016,780,No medal
180603,87136,2016,770,No medal
180604,85093,2016,293,No medal
180605,85895,2016,73,No medal
180606,85895,2016,74,No medal
180607,85062,2016,288,No medal
180608,87020,2016,81,Bronze
180609,85429,2016,814,No medal
180610,87300,2016,69,No medal
180611,86548,2016,523,Bronze
180612,86977,2016,313,No medal
180613,86977,2016,318,No medal
180614,85876,2016,290,No medal
180615,85876,2016,289,Bronze
180616,86264,2016,599,No medal
180617,86513,2016,614,No medal
180618,86867,2016,290,No medal
180619,86867,2016,289,Bronze
180620,84971,2016,553,No medal
180621,86486,2016,562,No medal
180622,85947,2016,814,No medal
180623,85020,2016,837,No medal
180624,86896,2016,905,Bronze
180625,86944,2016,80,Silver
180626,85912,2016,794,No medal
180627,84982,2016,901,No medal
180628,85982,2016,170,No medal
180629,85956,2016,523,No medal
180630,85775,2016,309,No medal
180631,85775,2016,299,No medal
180632,86446,2016,304,Bronze
180633,86970,2016,87,No medal
