result_id,olympian_id,year,event_id,medal
1,117939,1932,80,No medal
2,104044,1932,41,No medal
3,102888,1932,35,No medal
4,103894,1932,887,Silver
5,103884,1932,35,No medal
6,103970,1932,25,Silver
7,103293,1932,837,Gold
8,103577,1932,35,No medal
9,103577,1932,35,No medal
10,103737,1932,837,Silver
11,103123,1932,41,No medal
12,103123,1932,41,No medal
13,103123,1932,41,No medal
14,103371,1932,41,No medal
15,103371,1932,40,Bronze
16,103386,1932,883,No medal
17,103304,1932,41,No medal
18,103304,1932,41,No medal
19,103304,1932,41,No medal
20,103304,1932,41,No medal
21,103304,1932,41,No medal
22,103241,1932,41,No medal
23,103065,1932,35,No medal
24,103065,1932,35,No medal
25,103065,1932,35,No medal
26,103065,1932,35,No medal
27,103065,1932,35,No medal
28,103065,1932,35,No medal
29,103065,1932,35,No medal
30,103065,1932,35,No medal
31,102824,1932,19,No medal
32,103099,1932,41,No medal
33,103357,1932,35,No medal
34,102914,1932,85,No medal
35,103985,1932,41,No medal
36,103286,1932,70,No medal
37,103286,1932,67,No medal
38,103572,1932,18,No medal
39,103948,1932,41,No medal
40,103948,1932,41,No medal
41,103948,1932,41,No medal
42,102952,1932,80,No medal
43,102952,1932,87,Bronze
44,102884,1932,20,No medal
45,103650,1932,19,No medal
46,85046,1932,105,No medal
47,85046,1932,92,Gold
48,84917,1932,105,Bronze
49,86116,1932,547,Bronze
50,85922,1932,35,No medal
51,87337,1932,41,No medal
52,86717,1932,409,Bronze
53,85968,1932,35,No medal
54,85968,1932,35,No medal
55,85141,1932,41,No medal
56,85317,1932,35,No medal
57,86812,1932,547,Bronze
58,86812,1932,548,Silver
59,86632,1932,35,No medal
60,86632,1932,35,No medal
61,86632,1932,35,No medal
62,86632,1932,35,No medal
63,86632,1932,547,Bronze
64,86632,1932,548,Silver
65,86175,1932,79,No medal
66,86866,1932,409,Bronze
67,86866,1932,408,No medal
68,85247,1932,103,No medal
69,85450,1932,35,No medal
70,87264,1932,82,No medal
71,85305,1932,409,Bronze
72,85305,1932,408,No medal
73,85478,1932,35,No medal
74,85478,1932,35,No medal
75,86060,1932,35,No medal
76,86060,1932,35,No medal
77,86021,1932,19,No medal
78,87454,1932,41,No medal
79,85960,1932,35,No medal
80,87014,1932,550,Bronze
81,86897,1932,41,No medal
82,86634,1932,35,No medal
83,84912,1932,35,No medal
84,84912,1932,35,No medal
85,87063,1932,409,Bronze
86,87063,1932,408,No medal
87,87458,1932,66,Gold
88,85735,1932,35,No medal
89,87160,1932,25,No medal
90,85336,1932,35,No medal
91,86908,1932,25,No medal
92,85406,1932,35,No medal
93,85406,1932,33,Silver
94,85515,1932,547,Bronze
95,86180,1932,41,No medal
96,86180,1932,38,Gold
97,86710,1932,41,No medal
98,86710,1932,40,No medal
99,86002,1932,41,No medal
100,86721,1932,41,No medal
101,86721,1932,41,No medal
102,85590,1932,35,No medal
103,86786,1932,80,No medal
104,86786,1932,87,No medal
105,85859,1932,35,No medal
106,87492,1932,35,No medal
107,86526,1932,409,Bronze
108,87268,1932,409,Bronze
109,86594,1932,35,No medal
110,86436,1932,34,No medal
111,86466,1932,550,Bronze
112,86640,1932,547,Bronze
113,86640,1932,548,Silver
114,85426,1932,35,No medal
115,86792,1932,34,No medal
