result_id,olympian_id,year,event_id,medal
88918,117911,1988,64,No medal
88919,117868,1988,794,No medal
88920,117868,1988,795,No medal
88921,117927,1988,184,Silver
88922,117204,1988,458,Bronze
88923,117812,1988,184,Silver
88924,117168,1988,85,No medal
88925,117386,1988,185,Silver
88926,117571,1988,820,Gold
88927,117802,1988,458,Bronze
88928,117503,1988,547,No medal
88929,118065,1988,185,Silver
88930,117576,1988,430,No medal
88931,117148,1988,884,Silver
88932,117149,1988,476,No medal
88933,117912,1988,530,No medal
88934,117583,1988,887,No medal
88935,117497,1988,430,No medal
88936,117998,1988,430,No medal
88937,117551,1988,430,No medal
88938,117618,1988,459,No medal
88939,117266,1988,430,No medal
88940,118072,1988,430,No medal
88941,117552,1988,820,Gold
88942,117355,1988,880,No medal
88943,117872,1988,295,No medal
88944,117531,1988,458,Bronze
88945,117498,1988,201,Bronze
88946,117636,1988,197,No medal
88947,117539,1988,820,Gold
88948,117679,1988,660,Bronze
88949,117679,1988,655,Gold
88950,117924,1988,898,No medal
88951,117486,1988,295,No medal
88952,117461,1988,430,No medal
88953,118046,1988,458,Bronze
88954,118019,1988,206,No medal
88955,117470,1988,893,No medal
88956,117914,1988,271,No medal
88957,117914,1988,274,No medal
88958,117774,1988,430,No medal
88959,118037,1988,458,Bronze
88960,117200,1988,459,No medal
88961,117123,1988,530,No medal
88962,118022,1988,820,Gold
88963,117624,1988,184,Silver
88964,118055,1988,184,Silver
88965,117938,1988,458,Bronze
88966,117958,1988,458,Bronze
88967,117312,1988,765,Silver
88968,117312,1988,766,No medal
88969,117925,1988,550,Bronze
88970,117471,1988,820,Gold
88971,118070,1988,458,Bronze
88972,117325,1988,73,No medal
88973,117325,1988,78,No medal
88974,118073,1988,660,No medal
88975,118073,1988,655,No medal
88976,117959,1988,899,No medal
88977,117796,1988,547,No medal
88978,117220,1988,184,Silver
88979,118049,1988,108,No medal
88980,117961,1988,207,No medal
88981,117945,1988,735,No medal
88982,117945,1988,730,No medal
