result_id,olympian_id,year,event_id,medal
63652,117302,1976,471,No medal
63653,117256,1976,458,No medal
63654,117791,1976,184,Silver
63655,117838,1976,205,No medal
63656,117928,1976,475,No medal
63657,117594,1976,184,Silver
63658,117371,1976,458,No medal
63659,117484,1976,82,No medal
63660,117714,1976,78,No medal
63661,117823,1976,84,No medal
63662,117164,1976,184,Silver
63663,117513,1976,184,Silver
63664,117390,1976,652,No medal
63665,117616,1976,458,No medal
63666,117924,1976,892,No medal
63667,117387,1976,820,No medal
63668,117243,1976,78,No medal
63669,117184,1976,198,No medal
63670,117318,1976,548,No medal
63671,117288,1976,204,Bronze
63672,118020,1976,297,No medal
63673,117828,1976,898,No medal
63674,118021,1976,197,No medal
63675,117631,1976,458,No medal
63676,117129,1976,8,No medal
63677,117999,1976,458,No medal
63678,117578,1976,201,No medal
63679,117279,1976,820,No medal
63680,117508,1976,458,No medal
63681,117621,1976,704,No medal
63682,117621,1976,718,No medal
63683,117717,1976,895,Gold
63684,118003,1976,649,No medal
63685,117251,1976,652,No medal
63686,117429,1976,653,No medal
63687,117681,1976,100,No medal
63688,117726,1976,458,No medal
63689,117589,1976,551,No medal
63690,117591,1976,476,Bronze
63691,117569,1976,891,No medal
63692,118050,1976,458,No medal
63693,117585,1976,550,No medal
63694,117685,1976,653,No medal
63695,117245,1976,548,No medal
63696,117863,1976,710,No medal
63697,117863,1976,706,No medal
63698,117238,1976,710,No medal
63699,117238,1976,706,No medal
63700,117549,1976,458,No medal
63701,117192,1976,820,No medal
63702,117179,1976,820,No medal
63703,117845,1976,820,No medal
63704,118012,1976,551,No medal
63705,117142,1976,820,No medal
63706,117795,1976,271,Gold
63707,117795,1976,274,Bronze
63708,118034,1976,458,No medal
63709,117154,1976,477,No medal
63710,117154,1976,474,No medal
63711,117166,1976,184,Silver
63712,117600,1976,184,Silver
63713,117767,1976,458,No medal
63714,117683,1976,820,No medal
63715,117501,1976,202,Silver
63716,117640,1976,184,Silver
63717,117225,1976,184,Silver
63718,117372,1976,66,No medal
63719,117690,1976,87,No medal
63720,117407,1976,108,No medal
63721,117728,1976,458,No medal
63722,117426,1976,88,No medal
63723,117593,1976,184,Silver
63724,117613,1976,69,No medal
63725,117790,1976,294,No medal
63726,117790,1976,306,No medal
63727,117145,1976,881,Silver
63728,117269,1976,110,No medal
63729,117529,1976,112,No medal
63730,117183,1976,604,No medal
63731,117564,1976,711,No medal
63732,117564,1976,707,No medal
63733,117525,1976,184,Silver
63734,117132,1976,880,No medal
63735,117701,1976,184,Silver
63736,117847,1976,820,No medal
63737,117197,1976,184,Silver
63738,117603,1976,550,No medal
63739,118039,1976,548,No medal
63740,117588,1976,820,No medal
63741,117693,1976,458,No medal
63742,117879,1976,207,No medal
