result_id,olympian_id,year,event_id,medal
29149,117213,1960,820,No medal
29150,117652,1960,295,No medal
29151,117652,1960,304,No medal
29152,118036,1960,430,Gold
29153,117293,1960,885,No medal
29154,117703,1960,548,No medal
29155,117886,1960,551,No medal
29156,117856,1960,430,Gold
29157,117511,1960,408,No medal
29158,117605,1960,295,No medal
29159,117605,1960,304,No medal
29160,117822,1960,114,No medal
29161,117321,1960,637,No medal
29162,117764,1960,430,Gold
29163,117150,1960,644,No medal
29164,117150,1960,645,No medal
29165,117219,1960,547,No medal
29166,117944,1960,820,No medal
29167,117704,1960,103,No medal
29168,117756,1960,199,No medal
29169,118010,1960,430,Gold
29170,117782,1960,430,Gold
29171,117957,1960,73,No medal
29172,117877,1960,85,No medal
29173,117967,1960,548,No medal
29174,117678,1960,547,No medal
29175,117323,1960,820,No medal
29176,117341,1960,95,No medal
29177,117341,1960,92,No medal
29178,117452,1960,73,No medal
29179,117913,1960,820,No medal
29180,117560,1960,716,No medal
29181,117560,1960,712,No medal
29182,117560,1960,717,No medal
29183,117560,1960,704,No medal
29184,117560,1960,718,No medal
29185,117208,1960,430,Gold
29186,117680,1960,184,No medal
29187,117577,1960,712,No medal
29188,117244,1960,278,No medal
29189,117984,1960,81,No medal
29190,118056,1960,547,No medal
29191,117189,1960,451,No medal
29192,117189,1960,457,No medal
29193,117189,1960,453,No medal
29194,117189,1960,452,No medal
29195,117189,1960,454,No medal
29196,117463,1960,604,No medal
29197,117609,1960,547,No medal
29198,117553,1960,68,No medal
29199,117176,1960,295,No medal
29200,117289,1960,446,No medal
29201,117289,1960,447,No medal
29202,117289,1960,442,No medal
29203,117289,1960,445,No medal
29204,117289,1960,443,No medal
29205,117289,1960,441,No medal
29206,117289,1960,449,No medal
29207,117289,1960,444,No medal
29208,117205,1960,184,No medal
29209,117185,1960,430,Gold
29210,117541,1960,716,No medal
29211,117541,1960,711,No medal
29212,117682,1960,197,No medal
29213,117446,1960,184,No medal
29214,117976,1960,637,No medal
29215,118004,1960,547,No medal
29216,117237,1960,820,No medal
29217,117160,1960,820,No medal
29218,117221,1960,85,No medal
29219,117865,1960,430,Gold
29220,117668,1960,893,Silver
29221,117806,1960,446,No medal
29222,117806,1960,447,No medal
29223,117806,1960,442,No medal
29224,117806,1960,445,No medal
29225,117806,1960,443,No medal
29226,117806,1960,441,No medal
29227,117806,1960,449,No medal
29228,117806,1960,444,No medal
29229,117139,1960,430,Gold
29230,117472,1960,82,No medal
29231,117882,1960,86,No medal
29232,117922,1960,551,No medal
29233,117966,1960,68,No medal
29234,117830,1960,645,No medal
29235,117514,1960,184,No medal
29236,117388,1960,295,No medal
29237,117388,1960,304,No medal
29238,117981,1960,86,No medal
29239,117968,1960,446,No medal
29240,117968,1960,447,No medal
29241,117968,1960,442,No medal
29242,117968,1960,445,No medal
29243,117968,1960,443,No medal
29244,117968,1960,441,No medal
29245,117968,1960,449,No medal
29246,117968,1960,444,No medal
29247,117434,1960,184,No medal
29248,117597,1960,430,Gold
29249,117295,1960,73,No medal
29250,117447,1960,430,Gold
29251,117897,1960,609,No medal
29252,117257,1960,184,No medal
29253,118038,1960,79,No medal
29254,117697,1960,716,No medal
29255,117697,1960,709,No medal
29256,117752,1960,451,No medal
29257,117752,1960,457,No medal
29258,117752,1960,453,No medal
29259,117752,1960,452,No medal
29260,117752,1960,454,No medal
29261,117923,1960,430,Gold
29262,117809,1960,717,No medal
29263,117809,1960,704,No medal
29264,117400,1960,284,No medal
29265,117479,1960,207,No medal
29266,117448,1960,184,No medal
29267,117656,1960,820,No medal
29268,117425,1960,430,Gold
29269,117610,1960,820,No medal
29270,118031,1960,717,No medal
