result_id,olympian_id,year,event_id,medal
37103,117259,1964,430,No medal
37104,117482,1964,430,No medal
37105,117339,1964,446,No medal
37106,117339,1964,447,No medal
37107,117339,1964,442,No medal
37108,117339,1964,445,No medal
37109,117339,1964,443,No medal
37110,117339,1964,441,No medal
37111,117339,1964,449,No medal
37112,117339,1964,444,No medal
37113,117771,1964,76,No medal
37114,117771,1964,64,No medal
37115,117128,1964,820,Silver
37116,117764,1964,430,No medal
37117,117451,1964,820,Silver
37118,117944,1964,820,Silver
37119,117704,1964,112,No medal
37120,117704,1964,103,No medal
37121,117804,1964,446,No medal
37122,117804,1964,447,No medal
37123,117804,1964,442,No medal
37124,117804,1964,445,No medal
37125,117804,1964,443,No medal
37126,117804,1964,441,No medal
37127,117804,1964,449,No medal
37128,117804,1964,444,No medal
37129,117260,1964,71,No medal
37130,117678,1964,546,No medal
37131,117232,1964,895,Gold
37132,117323,1964,820,Silver
37133,117913,1964,820,Silver
37134,117175,1964,430,No medal
37135,118047,1964,820,Silver
37136,117560,1964,719,No medal
37137,117560,1964,704,No medal
37138,117716,1964,184,No medal
37139,117233,1964,184,No medal
37140,117345,1964,430,No medal
37141,117673,1964,80,No medal
37142,117244,1964,282,No medal
37143,117960,1964,430,No medal
37144,117289,1964,446,No medal
37145,117289,1964,447,No medal
37146,117289,1964,442,No medal
37147,117289,1964,445,No medal
37148,117289,1964,443,No medal
37149,117289,1964,441,No medal
37150,117289,1964,449,No medal
37151,117289,1964,444,No medal
37152,117205,1964,184,No medal
37153,117590,1964,430,No medal
37154,117565,1964,820,Silver
37155,117446,1964,184,No medal
37156,117237,1964,820,Silver
37157,117160,1964,820,Silver
37158,117797,1964,430,No medal
37159,117668,1964,883,Bronze
37160,117580,1964,546,No medal
37161,117940,1964,546,No medal
37162,117981,1964,86,No medal
37163,117948,1964,430,No medal
37164,117941,1964,184,No medal
37165,117295,1964,75,No medal
37166,117257,1964,184,No medal
37167,117456,1964,546,No medal
37168,117766,1964,546,No medal
37169,117400,1964,282,No medal
37170,117684,1964,430,No medal
37171,117343,1964,820,Silver
37172,118076,1964,548,No medal
37173,117401,1964,282,No medal
37174,117626,1964,893,No medal
37175,117692,1964,548,No medal
37176,117328,1964,184,No medal
37177,117435,1964,184,No medal
37178,117392,1964,108,No medal
37179,117363,1964,430,No medal
37180,118007,1964,104,No medal
37181,117983,1964,184,No medal
37182,117538,1964,430,No medal
37183,118077,1964,184,No medal
37184,117443,1964,704,No medal
37185,117443,1964,718,No medal
37186,117353,1964,282,No medal
37187,117317,1964,184,No medal
37188,117491,1964,184,No medal
37189,117334,1964,430,No medal
37190,117889,1964,891,No medal
37191,117156,1964,430,No medal
37192,117634,1964,546,No medal
37193,117450,1964,66,No medal
37194,117450,1964,76,No medal
37195,118015,1964,446,Gold
37196,118015,1964,447,No medal
37197,118015,1964,442,Bronze
37198,118015,1964,445,No medal
37199,118015,1964,443,No medal
37200,118015,1964,441,No medal
37201,118015,1964,449,No medal
37202,118015,1964,444,No medal
37203,117575,1964,446,No medal
37204,117575,1964,447,No medal
37205,117575,1964,442,No medal
37206,117575,1964,445,No medal
37207,117575,1964,443,No medal
37208,117575,1964,441,No medal
37209,117575,1964,449,No medal
37210,117575,1964,444,No medal
37211,117581,1964,446,No medal
37212,117581,1964,447,No medal
37213,117581,1964,442,No medal
37214,117581,1964,445,No medal
37215,117581,1964,443,No medal
37216,117581,1964,441,No medal
37217,117581,1964,449,No medal
37218,117581,1964,444,No medal
37219,117411,1964,430,No medal
37220,117588,1964,820,Silver
37221,117821,1964,546,No medal
37222,117403,1964,430,No medal
37223,117298,1964,546,No medal
37224,117931,1964,546,No medal
37225,117931,1964,548,No medal
37226,103025,1964,80,No medal
37227,103375,1964,843,Gold
37228,103335,1964,430,Silver
37229,103564,1964,430,Silver
37230,102820,1964,546,Bronze
37231,103494,1964,604,No medal
37232,103735,1964,430,Silver
37233,102750,1964,709,No medal
37234,103660,1964,430,Silver
37235,104007,1964,74,No medal
37236,103319,1964,86,No medal
37237,104045,1964,66,No medal
37238,104045,1964,76,No medal
37239,103895,1964,814,Silver
37240,103461,1964,546,Bronze
37241,103256,1964,451,No medal
37242,103256,1964,457,No medal
37243,103256,1964,453,No medal
37244,103256,1964,452,No medal
37245,103256,1964,455,Silver
37246,103256,1964,454,No medal
37247,103920,1964,881,No medal
37248,103289,1964,430,Silver
37249,102804,1964,644,No medal
37250,102804,1964,645,No medal
37251,102804,1964,638,No medal
37252,102980,1964,547,No medal
37253,102796,1964,547,No medal
37254,103885,1964,307,No medal
37255,104054,1964,814,Silver
37256,103520,1964,304,No medal
37257,102876,1964,814,Silver
37258,102769,1964,196,No medal
37259,103809,1964,451,No medal
37260,103809,1964,457,No medal
37261,103809,1964,453,No medal
37262,103809,1964,452,No medal
37263,103809,1964,455,Silver
37264,103809,1964,454,No medal
37265,104033,1964,430,Silver
37266,103007,1964,814,Silver
37267,102988,1964,451,No medal
37268,102988,1964,457,No medal
37269,102988,1964,453,No medal
37270,102988,1964,452,No medal
37271,102988,1964,455,Silver
37272,102988,1964,454,No medal
37273,104048,1964,308,No medal
37274,104048,1964,304,No medal
37275,102781,1964,201,No medal
37276,103218,1964,546,Bronze
37277,103592,1964,547,No medal
37278,103160,1964,430,Silver
37279,103022,1964,814,Silver
37280,103547,1964,267,No medal
37281,103106,1964,308,No medal
37282,103106,1964,294,No medal
37283,102806,1964,446,No medal
37284,102806,1964,447,No medal
37285,102806,1964,442,No medal
37286,102806,1964,445,No medal
37287,102806,1964,443,No medal
37288,102806,1964,441,No medal
37289,102806,1964,449,No medal
37290,102806,1964,444,No medal
37291,103275,1964,814,Silver
37292,103996,1964,548,No medal
37293,103989,1964,307,No medal
37294,103662,1964,841,No medal
37295,103029,1964,64,Silver
37296,103949,1964,546,Bronze
37297,103531,1964,430,Silver
37298,104015,1964,451,No medal
37299,104015,1964,457,No medal
37300,104015,1964,453,No medal
37301,104015,1964,452,No medal
37302,104015,1964,455,Silver
37303,104015,1964,454,No medal
37304,103628,1964,207,No medal
37305,102933,1964,199,No medal
37306,103226,1964,105,No medal
37307,103642,1964,639,Bronze
37308,102895,1964,814,Silver
37309,102916,1964,446,No medal
37310,102916,1964,447,No medal
37311,102916,1964,442,No medal
37312,102916,1964,445,No medal
37313,102916,1964,443,No medal
37314,102916,1964,441,No medal
37315,102916,1964,449,No medal
37316,102916,1964,444,No medal
37317,102865,1964,546,Bronze
37318,103311,1964,430,Silver
37319,103522,1964,548,No medal
37320,104093,1964,81,No medal
37321,102790,1964,430,Silver
37322,103538,1964,430,Silver
37323,102812,1964,546,Bronze
37324,104041,1964,704,No medal
37325,104041,1964,718,No medal
37326,104041,1964,709,No medal
37327,103749,1964,430,Silver
37328,103656,1964,547,No medal
37329,104018,1964,95,No medal
37330,104018,1964,92,No medal
37331,103052,1964,637,No medal
37332,103367,1964,306,No medal
37333,103568,1964,203,No medal
37334,103761,1964,451,No medal
37335,103761,1964,457,No medal
37336,103761,1964,453,No medal
37337,103761,1964,452,No medal
37338,103761,1964,455,Silver
37339,103761,1964,454,No medal
37340,103441,1964,446,No medal
37341,103441,1964,447,No medal
37342,103441,1964,442,No medal
37343,103441,1964,445,No medal
37344,103441,1964,443,No medal
37345,103441,1964,441,No medal
37346,103441,1964,449,No medal
37347,103441,1964,444,No medal
37348,103032,1964,886,No medal
37349,103237,1964,308,No medal
37350,102822,1964,446,No medal
37351,102822,1964,447,No medal
37352,102822,1964,442,No medal
37353,102822,1964,445,No medal
37354,102822,1964,443,No medal
37355,102822,1964,441,No medal
37356,102822,1964,449,No medal
37357,102822,1964,444,No medal
37358,103847,1964,555,No medal
37359,103536,1964,895,Silver
37360,103739,1964,814,Silver
