result_id,olympian_id,year,event_id,medal
113261,85510,1996,81,No medal
113262,85431,1996,883,Gold
113263,86154,1996,814,No medal
113264,87252,1996,282,No medal
113265,87252,1996,281,No medal
113266,85909,1996,887,Gold
113267,87496,1996,473,No medal
113268,85759,1996,893,Gold
113269,85136,1996,413,No medal
113270,85136,1996,412,No medal
113271,87060,1996,270,No medal
113272,86170,1996,475,No medal
113273,86291,1996,107,No medal
113274,86226,1996,282,No medal
113275,85117,1996,275,No medal
113276,87006,1996,553,No medal
113277,85934,1996,521,No medal
113278,87295,1996,728,No medal
113279,87295,1996,724,No medal
113280,86157,1996,814,No medal
113281,86304,1996,289,No medal
113282,85729,1996,899,Bronze
113283,85138,1996,814,No medal
113284,85789,1996,8,No medal
113285,86614,1996,716,No medal
113286,86614,1996,708,No medal
113287,85376,1996,409,No medal
113288,85376,1996,408,No medal
113289,85229,1996,484,Silver
113290,85223,1996,643,No medal
113291,85731,1996,553,No medal
113292,86432,1996,549,No medal
113293,85389,1996,814,No medal
113294,85841,1996,814,No medal
113295,85810,1996,615,No medal
113296,84918,1996,597,No medal
113297,85390,1996,270,No medal
113298,87155,1996,304,No medal
113299,86584,1996,405,No medal
113300,86242,1996,407,Silver
113301,86242,1996,406,No medal
113302,86110,1996,111,No medal
113303,87284,1996,814,No medal
113304,87111,1996,710,No medal
113305,87111,1996,713,No medal
113306,85705,1996,716,No medal
113307,85705,1996,706,No medal
113308,86706,1996,288,No medal
113309,85842,1996,643,Silver
113310,86750,1996,73,No medal
113311,86750,1996,74,No medal
113312,85868,1996,89,No medal
113313,86966,1996,413,No medal
113314,86966,1996,412,No medal
113315,87100,1996,478,No medal
113316,86519,1996,814,No medal
113317,86967,1996,407,Silver
113318,86686,1996,90,No medal
113319,85464,1996,82,No medal
113320,87323,1996,476,No medal
113321,85224,1996,637,No medal
113322,85224,1996,634,No medal
113323,85451,1996,404,No medal
113324,85844,1996,730,No medal
113325,85844,1996,727,No medal
113326,85844,1996,723,No medal
113327,86339,1996,881,No medal
113328,86751,1996,292,No medal
113329,85061,1996,82,Silver
113330,84969,1996,405,No medal
113331,87124,1996,839,No medal
113332,85343,1996,549,No medal
113333,86995,1996,797,No medal
113334,86995,1996,798,No medal
113335,86189,1996,409,No medal
113336,86189,1996,408,No medal
113337,84999,1996,554,No medal
113338,87186,1996,11,Bronze
113339,87186,1996,10,No medal
113340,86380,1996,637,No medal
113341,86380,1996,634,No medal
113342,87354,1996,814,No medal
113343,87379,1996,111,No medal
113344,84941,1996,835,No medal
113345,87424,1996,471,Gold
113346,85334,1996,270,No medal
113347,86309,1996,275,No medal
113348,86372,1996,68,No medal
113349,85419,1996,599,No medal
113350,86935,1996,659,Bronze
113351,86935,1996,656,Gold
113352,86668,1996,842,No medal
113353,85420,1996,282,No medal
113354,85420,1996,287,Bronze
113355,86669,1996,719,No medal
113356,86669,1996,714,No medal
113357,85804,1996,482,No medal
113358,87381,1996,660,No medal
113359,87381,1996,655,No medal
113360,87228,1996,73,No medal
113361,87228,1996,70,No medal
113362,87315,1996,554,No medal
113363,86461,1996,472,No medal
113364,86997,1996,530,No medal
113365,86936,1996,530,No medal
113366,86709,1996,594,Gold
113367,85888,1996,483,No medal
113368,87355,1996,639,No medal
113369,87440,1996,474,No medal
113370,85453,1996,659,No medal
113371,85453,1996,656,No medal
113372,86356,1996,407,Silver
113373,86356,1996,406,No medal
113374,87277,1996,882,No medal
113375,85717,1996,294,No medal
113376,86880,1996,716,No medal
113377,86880,1996,711,No medal
113378,86880,1996,707,No medal
113379,87128,1996,480,No medal
113380,85294,1996,172,No medal
113381,86954,1996,644,No medal
113382,86954,1996,645,No medal
113383,86954,1996,635,No medal
113384,87078,1996,270,No medal
113385,86179,1996,278,No medal
113386,85708,1996,82,No medal
113387,87412,1996,267,No medal
113388,87189,1996,890,No medal
113389,87129,1996,77,Gold
113390,87129,1996,69,No medal
113391,85914,1996,551,No medal
113392,85502,1996,722,No medal
113393,86049,1996,554,No medal
113394,87475,1996,269,No medal
113395,85589,1996,293,No medal
113396,87177,1996,11,Bronze
113397,87177,1996,10,No medal
113398,86245,1996,716,No medal
113399,86245,1996,709,No medal
113400,86245,1996,720,No medal
113401,87369,1996,407,Silver
113402,87369,1996,406,No medal
113403,85017,1996,105,No medal
113404,86090,1996,297,No medal
113405,85176,1996,470,No medal
113406,85298,1996,282,No medal
113407,85971,1996,73,No medal
113408,85026,1996,409,No medal
113409,85026,1996,408,No medal
113410,86755,1996,110,No medal
113411,86869,1996,405,No medal
113412,87131,1996,73,No medal
113413,87131,1996,75,No medal
113414,87303,1996,549,No medal
113415,86819,1996,814,No medal
113416,85207,1996,416,No medal
113417,85307,1996,889,No medal
113418,86507,1996,885,No medal
113419,85424,1996,73,No medal
113420,85219,1996,797,No medal
113421,85219,1996,798,No medal
113422,86712,1996,814,No medal
113423,86637,1996,765,No medal
113424,86637,1996,766,No medal
113425,87357,1996,111,No medal
113426,85542,1996,836,No medal
113427,85550,1996,267,No medal
113428,84974,1996,611,No medal
113429,85795,1996,202,No medal
113430,85001,1996,712,No medal
113431,85385,1996,886,No medal
113432,87069,1996,301,No medal
113433,87191,1996,284,No medal
113434,85919,1996,85,No medal
113435,86413,1996,281,No medal
113436,87056,1996,413,No medal
113437,87056,1996,412,No medal
113438,86016,1996,891,Silver
113439,84935,1996,11,Bronze
113440,84935,1996,10,No medal
113441,87413,1996,289,No medal
113442,87034,1996,814,No medal
113443,86822,1996,521,No medal
113444,85903,1996,644,No medal
113445,85903,1996,645,No medal
113446,87426,1996,840,Bronze
113447,87094,1996,304,No medal
113448,87269,1996,405,No medal
113449,87443,1996,597,No medal
113450,85785,1996,79,No medal
113451,85864,1996,726,No medal
113452,85577,1996,554,No medal
113453,85461,1996,89,No medal
113454,85725,1996,298,No medal
113455,85725,1996,304,No medal
113456,86051,1996,551,No medal
113457,87048,1996,205,No medal
113458,86805,1996,765,No medal
113459,86678,1996,203,No medal
113460,86415,1996,278,No medal
113461,85700,1996,85,No medal
113462,86289,1996,549,No medal
113463,87261,1996,301,No medal
113464,86375,1996,199,No medal
113465,87282,1996,269,No medal
113466,85906,1996,298,No medal
113467,85906,1996,304,No medal
113468,63559,1996,99,No medal
113469,63559,1996,104,No medal
113470,63664,1996,78,No medal
113471,63539,1996,597,No medal
113472,63716,1996,72,No medal
113473,63716,1996,67,No medal
113474,63435,1996,72,No medal
113475,63435,1996,70,No medal
113476,63509,1996,98,Bronze
113477,63509,1996,93,No medal
113478,63484,1996,93,No medal
113479,63428,1996,73,Bronze
113480,63635,1996,99,No medal
113481,63635,1996,100,No medal
113482,63808,1996,101,No medal
113483,63419,1996,101,No medal
113484,63669,1996,98,Bronze
113485,63669,1996,95,Silver
113486,63669,1996,92,Silver
113487,63833,1996,75,No medal
113488,63486,1996,78,No medal
113489,63553,1996,98,Bronze
113490,63605,1996,73,Bronze
113491,63605,1996,74,No medal
113492,63660,1996,95,No medal
113493,63660,1996,92,No medal
113494,63477,1996,73,Bronze
113495,63477,1996,74,No medal
113496,63466,1996,98,Bronze
113497,63797,1996,115,No medal
113498,63588,1996,765,No medal
113499,63588,1996,766,No medal
113500,63425,1996,765,No medal
113501,63425,1996,766,No medal
113502,63421,1996,99,No medal
113503,63421,1996,101,Gold
113504,63750,1996,73,Bronze
113505,63520,1996,107,No medal
113506,63520,1996,110,No medal
113507,63558,1996,72,No medal
113508,63558,1996,67,No medal
113509,63602,1996,197,No medal
113510,63485,1996,75,No medal
113511,63655,1996,72,No medal
113512,63655,1996,67,No medal
113513,63783,1996,597,No medal
113514,63637,1996,110,No medal
113515,63631,1996,75,No medal
113516,63458,1996,98,Bronze
113517,63458,1996,93,No medal
113518,63818,1996,99,No medal
113519,63818,1996,100,No medal
113520,63645,1996,68,No medal
113521,63479,1996,205,No medal
113522,63608,1996,98,Bronze
113523,63608,1996,95,No medal
113524,63608,1996,92,No medal
113525,63714,1996,73,Bronze
113526,63714,1996,74,No medal
113527,63503,1996,70,No medal
113528,63789,1996,99,No medal
113529,63789,1996,100,No medal
113530,63499,1996,709,No medal
113531,63499,1996,720,No medal
113532,63459,1996,73,Bronze
113533,63445,1996,202,No medal
113534,63786,1996,84,Silver
113535,63670,1996,99,No medal
113536,63417,1996,85,No medal
113537,15562,1996,84,No medal
113538,15552,1996,108,No medal
113539,15548,1996,82,No medal
113540,15573,1996,115,No medal
113541,15537,1996,204,No medal
113542,13630,1996,430,Bronze
113543,12240,1996,190,No medal
113544,11882,1996,430,Bronze
113545,12622,1996,476,No medal
113546,12679,1996,483,No medal
113547,12557,1996,458,No medal
113548,12465,1996,815,Bronze
113549,13661,1996,554,No medal
113550,12890,1996,184,No medal
113551,12454,1996,458,No medal
113552,11903,1996,73,No medal
113553,11903,1996,75,No medal
113554,12303,1996,708,No medal
113555,12303,1996,717,No medal
113556,12382,1996,431,No medal
113557,13992,1996,814,No medal
113558,13840,1996,599,No medal
113559,14030,1996,431,No medal
113560,12644,1996,431,No medal
113561,13616,1996,304,No medal
113562,13198,1996,458,No medal
113563,12567,1996,431,No medal
113564,12230,1996,185,Silver
113565,13918,1996,431,No medal
113566,13633,1996,185,Silver
113567,11868,1996,202,No medal
113568,13931,1996,191,Gold
113569,13483,1996,88,No medal
113570,13558,1996,275,No medal
113571,13133,1996,288,No medal
113572,13173,1996,814,No medal
113573,13818,1996,184,No medal
113574,13574,1996,715,No medal
113575,13574,1996,709,No medal
113576,13574,1996,720,Bronze
113577,13539,1996,604,Gold
113578,13740,1996,458,No medal
113579,12254,1996,430,Bronze
113580,12829,1996,597,No medal
113581,12135,1996,191,Gold
113582,13278,1996,815,Bronze
113583,12437,1996,191,Silver
113584,13932,1996,717,No medal
113585,12403,1996,431,No medal
113586,12000,1996,185,Silver
113587,12924,1996,730,No medal
113588,12924,1996,724,No medal
113589,12924,1996,725,No medal
113590,13226,1996,430,Bronze
113591,12347,1996,710,No medal
113592,12347,1996,706,No medal
113593,11847,1996,184,No medal
113594,11893,1996,304,No medal
113595,13850,1996,191,Silver
113596,12316,1996,205,No medal
113597,12160,1996,478,No medal
113598,12244,1996,430,Bronze
113599,12560,1996,430,Bronze
113600,12901,1996,304,No medal
113601,11837,1996,72,Bronze
113602,11837,1996,70,No medal
113603,11837,1996,67,No medal
113604,13334,1996,606,No medal
113605,12568,1996,301,No medal
113606,13934,1996,184,No medal
113607,12163,1996,298,No medal
113608,12163,1996,304,No medal
113609,12697,1996,431,No medal
113610,13184,1996,184,No medal
113611,12665,1996,458,No medal
113612,13962,1996,814,No medal
113613,11905,1996,458,No medal
113614,12052,1996,403,Bronze
113615,12052,1996,402,No medal
113616,13832,1996,68,No medal
113617,13291,1996,475,No medal
113618,13227,1996,814,No medal
113619,12035,1996,814,No medal
113620,13471,1996,611,No medal
113621,13895,1996,603,Bronze
113622,12690,1996,765,No medal
113623,12231,1996,814,No medal
113624,14082,1996,185,Silver
113625,12905,1996,73,No medal
113626,12905,1996,74,No medal
113627,12213,1996,481,No medal
113628,13364,1996,184,No medal
113629,13716,1996,190,No medal
113630,14052,1996,431,No medal
113631,12167,1996,814,No medal
113632,14036,1996,111,No medal
113633,12980,1996,430,Bronze
113634,11792,1996,814,No medal
113635,13986,1996,815,Bronze
113636,13499,1996,458,No medal
113637,13199,1996,184,No medal
113638,12596,1996,458,No medal
113639,14083,1996,471,Bronze
113640,13620,1996,431,No medal
113641,13102,1996,458,No medal
113642,13188,1996,797,No medal
113643,13510,1996,104,No medal
113644,12071,1996,795,No medal
113645,11827,1996,431,No medal
113646,12994,1996,304,No medal
113647,12712,1996,814,No medal
