result_id,olympian_id,year,event_id,medal
100938,103940,1992,844,No medal
100939,104059,1992,798,No medal
100940,103297,1992,79,Gold
100941,103491,1992,547,No medal
100942,102818,1992,899,No medal
100943,104053,1992,83,Gold
100944,104006,1992,556,No medal
100945,103510,1992,546,No medal
100946,103776,1992,556,No medal
100947,103756,1992,69,No medal
100948,102893,1992,290,No medal
100949,103913,1992,185,No medal
100950,103565,1992,766,No medal
100951,103215,1992,820,No medal
100952,103192,1992,820,No medal
100953,103757,1992,475,No medal
100954,103076,1992,556,No medal
100955,104082,1992,883,No medal
100956,103713,1992,644,No medal
100957,103838,1992,458,No medal
100958,104060,1992,651,No medal
100959,103543,1992,795,No medal
100960,103255,1992,198,No medal
100961,102755,1992,282,No medal
100962,103202,1992,295,No medal
100963,103202,1992,304,No medal
100964,102976,1992,458,No medal
100965,103575,1992,308,No medal
100966,102760,1992,303,No medal
100967,103027,1992,556,No medal
100968,103462,1992,77,No medal
100969,103829,1992,282,No medal
100970,103829,1992,287,No medal
100971,103415,1992,759,No medal
100972,103798,1992,547,No medal
100973,103194,1992,458,No medal
100974,103554,1992,798,No medal
100975,103853,1992,797,No medal
100976,103667,1992,726,No medal
100977,103667,1992,722,No medal
100978,103903,1992,270,No medal
100979,104047,1992,270,No medal
100980,103687,1992,896,No medal
100981,103910,1992,614,No medal
100982,103077,1992,530,No medal
100983,103048,1992,737,No medal
100984,103048,1992,734,No medal
100985,103921,1992,563,No medal
100986,102981,1992,471,No medal
100987,103986,1992,546,No medal
100988,103986,1992,548,No medal
100989,103405,1992,639,No medal
100990,103035,1992,660,No medal
100991,103035,1992,655,No medal
100992,103233,1992,270,Silver
100993,104074,1992,458,No medal
100994,102835,1992,556,No medal
100995,103703,1992,546,No medal
100996,103091,1992,81,No medal
100997,103258,1992,458,No medal
100998,103710,1992,470,No medal
100999,103432,1992,293,No medal
101000,103931,1992,199,No medal
101001,103378,1992,270,Silver
101002,103325,1992,898,No medal
101003,103750,1992,185,No medal
101004,103396,1992,640,Bronze
101005,102853,1992,546,No medal
101006,104083,1992,275,No medal
101007,103397,1992,522,No medal
101008,103397,1992,521,No medal
101009,102962,1992,458,No medal
101010,103728,1992,288,No medal
101011,102858,1992,451,No medal
101012,102858,1992,457,No medal
101013,102858,1992,453,No medal
101014,102858,1992,452,No medal
101015,102858,1992,454,No medal
101016,103704,1992,275,Gold
101017,103988,1992,820,No medal
101018,102899,1992,472,No medal
101019,103310,1992,270,No medal
101020,104097,1992,270,No medal
101021,104092,1992,111,No medal
101022,103212,1992,402,No medal
101023,103162,1992,308,No medal
101024,103349,1992,890,No medal
101025,103980,1992,295,No medal
101026,103980,1992,304,No medal
101027,103477,1992,530,No medal
101028,102797,1992,275,No medal
101029,103794,1992,563,No medal
101030,103265,1992,797,No medal
101031,103265,1992,798,No medal
101032,103398,1992,108,No medal
101033,103055,1992,185,No medal
101034,102977,1992,635,No medal
101035,103014,1992,77,No medal
101036,103366,1992,724,No medal
101037,103366,1992,722,No medal
101038,103366,1992,725,No medal
101039,103366,1992,736,No medal
101040,104050,1992,446,No medal
101041,104050,1992,447,No medal
101042,104050,1992,442,No medal
101043,104050,1992,445,No medal
101044,104050,1992,443,No medal
101045,104050,1992,441,No medal
101046,104050,1992,444,No medal
101047,103219,1992,88,No medal
101048,103779,1992,768,No medal
101049,103064,1992,458,No medal
101050,103934,1992,546,No medal
101051,102782,1992,169,No medal
101052,103390,1992,730,No medal
101053,103390,1992,723,No medal
101054,102968,1992,105,No medal
101055,103408,1992,548,No medal
101056,103706,1992,894,No medal
101057,104063,1992,185,No medal
101058,103511,1992,295,No medal
101059,103880,1992,458,No medal
101060,103204,1992,172,No medal
101061,103409,1992,645,No medal
101062,103409,1992,635,No medal
101063,103544,1992,278,No medal
101064,102855,1992,75,No medal
101065,103539,1992,411,No medal
101066,102985,1992,654,No medal
101067,103097,1992,838,No medal
101068,103043,1992,547,No medal
101069,103670,1992,556,No medal
101070,103815,1992,68,No medal
101071,103738,1992,766,No medal
101072,103629,1992,659,No medal
101073,103629,1992,656,No medal
101074,103124,1992,69,No medal
101075,103166,1992,660,No medal
101076,103166,1992,655,No medal
101077,103718,1992,274,No medal
101078,103507,1992,820,No medal
101079,103108,1992,451,No medal
101080,103108,1992,457,No medal
101081,103108,1992,453,No medal
101082,103108,1992,452,No medal
101083,103108,1992,454,No medal
101084,103999,1992,304,No medal
101085,103239,1992,108,No medal
101086,103549,1992,458,No medal
101087,103392,1992,458,No medal
101088,103841,1992,563,No medal
101089,104089,1992,282,No medal
101090,104089,1992,281,No medal
101091,103393,1992,547,No medal
101092,103871,1992,308,No medal
101093,104035,1992,838,No medal
101094,103498,1992,290,No medal
101095,103498,1992,289,No medal
101096,103991,1992,637,No medal
101097,103991,1992,634,No medal
101098,103612,1992,306,No medal
101099,104090,1992,411,No medal
101100,104090,1992,410,No medal
101101,103927,1992,640,No medal
101102,102813,1992,185,No medal
101103,102830,1992,481,No medal
101104,103699,1992,556,No medal
101105,103613,1992,820,No medal
101106,103519,1992,766,No medal
101107,103214,1992,290,No medal
101108,103214,1992,289,No medal
101109,103863,1992,820,No medal
101110,103361,1992,458,No medal
101111,103763,1992,278,No medal
101112,103872,1992,206,No medal
101113,103891,1992,654,Gold
101114,103126,1992,599,No medal
101115,104058,1992,768,No medal
101116,104058,1992,769,No medal
101117,104042,1992,820,No medal
101118,103818,1992,546,No medal
101119,103156,1992,651,No medal
101120,102868,1992,185,No medal
101121,103541,1992,293,No medal
101122,103907,1992,288,No medal
101123,103400,1992,548,No medal
101124,103657,1992,458,No medal
101125,103475,1992,290,No medal
101126,102849,1992,8,No medal
101127,103306,1992,293,No medal
101128,102973,1992,84,No medal
101129,103526,1992,895,No medal
101130,103208,1992,205,No medal
101131,103189,1992,411,No medal
101132,103975,1992,458,No medal
101133,102881,1992,522,No medal
101134,102881,1992,521,No medal
101135,103050,1992,269,No medal
101136,103245,1992,282,No medal
101137,103245,1992,281,No medal
101138,103245,1992,284,No medal
101139,103764,1992,840,No medal
101140,103901,1992,411,No medal
101141,103901,1992,410,No medal
101142,103528,1992,185,No medal
101143,103623,1992,614,No medal
101144,103240,1992,820,No medal
101145,103448,1992,411,No medal
101146,103448,1992,410,No medal
101147,103552,1992,85,No medal
101148,102882,1992,556,No medal
101149,102974,1992,548,No medal
101150,103734,1992,839,No medal
101151,102999,1992,185,No medal
101152,103487,1992,185,No medal
101153,103302,1992,555,Silver
101154,103270,1992,735,No medal
101155,103270,1992,730,No medal
101156,103270,1992,734,No medal
101157,103363,1992,546,No medal
101158,102825,1992,563,No medal
101159,103000,1992,820,No medal
101160,103624,1992,80,No medal
101161,104029,1992,446,No medal
101162,104029,1992,447,No medal
101163,104029,1992,442,No medal
101164,104029,1992,445,No medal
101165,104029,1992,443,No medal
101166,104029,1992,441,No medal
101167,104029,1992,444,No medal
101168,104068,1992,308,No medal
101169,103796,1992,820,No medal
101170,103928,1992,546,No medal
101171,103812,1992,710,No medal
101172,103812,1992,706,No medal
101173,103039,1992,522,No medal
101174,103039,1992,521,No medal
101175,103480,1992,77,No medal
101176,103480,1992,69,No medal
101177,104011,1992,710,No medal
101178,104011,1992,706,No medal
101179,103318,1992,659,No medal
101180,103318,1992,656,No medal
101181,103954,1992,295,No medal
101182,103481,1992,185,No medal
101183,104003,1992,185,No medal
101184,103444,1992,458,No medal
101185,103246,1992,556,No medal
101186,103323,1992,546,No medal
101187,102863,1992,711,No medal
101188,102863,1992,707,No medal
101189,103191,1992,458,No medal
101190,103516,1992,458,No medal
101191,103574,1992,547,No medal
101192,104065,1992,269,No medal
101193,104065,1992,271,No medal
101194,103332,1992,373,No medal
101195,103785,1992,451,No medal
101196,103785,1992,457,No medal
101197,103785,1992,453,No medal
101198,103785,1992,452,No medal
101199,103785,1992,454,No medal
101200,103955,1992,820,No medal
101201,102978,1992,297,No medal
101202,103144,1992,644,No medal
101203,103144,1992,645,No medal
101204,103837,1992,820,No medal
101205,102773,1992,185,No medal
101206,103012,1992,651,No medal
101207,85957,1992,411,No medal
101208,85431,1992,883,No medal
101209,85909,1992,887,No medal
101210,85021,1992,842,Bronze
101211,85893,1992,75,No medal
101212,85759,1992,893,No medal
101213,85136,1992,413,No medal
101214,85136,1992,412,No medal
101215,85809,1992,717,No medal
101216,85809,1992,718,No medal
101217,85809,1992,713,No medal
101218,85043,1992,735,No medal
101219,85043,1992,726,No medal
101220,86291,1992,107,No medal
101221,85851,1992,171,No medal
101222,85851,1992,172,No medal
101223,84991,1992,430,Silver
101224,85341,1992,267,No medal
101225,85341,1992,274,No medal
101226,85154,1992,430,Silver
101227,86008,1992,898,No medal
101228,87295,1992,728,No medal
101229,87295,1992,724,No medal
101230,86304,1992,289,No medal
101231,85729,1992,899,Silver
101232,86228,1992,547,Bronze
101233,86229,1992,797,No medal
101234,86614,1992,712,No medal
101235,86614,1992,708,Silver
101236,87254,1992,413,No medal
101237,85432,1992,888,No medal
101238,86125,1992,171,No medal
101239,85679,1992,295,No medal
101240,85679,1992,304,No medal
101241,86601,1992,407,Bronze
101242,86601,1992,406,No medal
101243,85824,1992,735,No medal
101244,85824,1992,730,No medal
101245,85824,1992,728,No medal
101246,86761,1992,430,Silver
101247,86432,1992,547,Bronze
101248,85605,1992,895,Silver
101249,86337,1992,411,No medal
101250,84918,1992,597,No medal
101251,85390,1992,270,No medal
101252,87297,1992,430,Silver
101253,86082,1992,548,No medal
101254,87087,1992,269,No medal
101255,86242,1992,407,Bronze
101256,86084,1992,413,No medal
101257,86084,1992,412,No medal
101258,85884,1992,204,No medal
101259,86338,1992,522,Gold
101260,86338,1992,521,Gold
101261,86353,1992,766,No medal
101262,87112,1992,407,Bronze
101263,84940,1992,840,Silver
101264,86602,1992,275,No medal
101265,86698,1992,655,No medal
101266,85171,1992,200,No medal
101267,85868,1992,89,No medal
